"id","rssi_data_id","anchor_id","rssi_value","timestamp","x","y","name"
34154,209,"A3_H","-75","2025-08-07 10:10:20","5","0","Galaxy S24"
34155,209,"A1_H","-66","2025-08-07 10:10:20","5","0","Galaxy S24"
34156,209,"A2_V","-81","2025-08-07 10:10:20","5","0","Galaxy S24"
34157,209,"A3_V","-76","2025-08-07 10:11:28","5.5","0","Galaxy S24"
34158,209,"A2_V","-75","2025-08-07 10:11:28","5.5","0","Galaxy S24"
34159,209,"A3_H","-83","2025-08-07 10:11:28","5.5","0","Galaxy S24"
34160,209,"A4_V","-84","2025-08-07 10:11:29","5.5","0","Galaxy S24"
34161,209,"A4_H","-70","2025-08-07 10:11:29","5.5","0","Galaxy S24"
34162,209,"A1_H","-78","2025-08-07 10:11:29","5.5","0","Galaxy S24"
34163,209,"A1_V","-75","2025-08-07 10:11:29","5.5","0","Galaxy S24"
34164,209,"A2_H","-65","2025-08-07 10:11:29","5.5","0","Galaxy S24"
34165,209,"A4_H","-75","2025-08-07 10:12:07","6","0","Galaxy S24"
34166,209,"A2_H","-77","2025-08-07 10:12:07","6","0","Galaxy S24"
34167,209,"A3_V","-76","2025-08-07 10:12:07","6","0","Galaxy S24"
34168,209,"A3_H","-80","2025-08-07 10:12:07","6","0","Galaxy S24"
34169,209,"A1_H","-77","2025-08-07 10:12:07","6","0","Galaxy S24"
34170,209,"A4_V","-77","2025-08-07 10:12:07","6","0","Galaxy S24"
34171,209,"A2_V","-84","2025-08-07 10:12:07","6","0","Galaxy S24"
34172,209,"A1_V","-74","2025-08-07 10:12:07","6","0","Galaxy S24"
34173,209,"A3_H","-82","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34174,209,"A4_V","-73","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34175,209,"A2_V","-83","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34176,209,"A4_H","-72","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34177,209,"A1_H","-77","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34178,209,"A2_H","-78","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34179,209,"A3_V","-80","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34180,209,"A1_V","-78","2025-08-07 10:12:38","6.5","0","Galaxy S24"
34181,209,"A2_V","-82","2025-08-07 10:13:06","7","0","Galaxy S24"
34182,209,"A4_H","-65","2025-08-07 10:13:07","7","0","Galaxy S24"
34183,209,"A3_H","-72","2025-08-07 10:13:07","7","0","Galaxy S24"
34184,209,"A1_V","-64","2025-08-07 10:13:07","7","0","Galaxy S24"
34185,209,"A3_V","-80","2025-08-07 10:13:07","7","0","Galaxy S24"
34186,209,"A2_H","-69","2025-08-07 10:13:07","7","0","Galaxy S24"
34187,209,"A1_H","-75","2025-08-07 10:13:07","7","0","Galaxy S24"
34188,209,"A4_V","-56","2025-08-07 10:13:08","7","0","Galaxy S24"
34189,209,"A2_H","-70","2025-08-07 10:14:44","0","0.5","Galaxy S24"
34190,209,"A3_V","-72","2025-08-07 10:14:44","0","0.5","Galaxy S24"
34191,209,"A1_V","-92","2025-08-07 10:14:44","0","0.5","Galaxy S24"
34192,209,"A4_V","-83","2025-08-07 10:14:44","0","0.5","Galaxy S24"
34193,209,"A3_H","-60","2025-08-07 10:14:44","0","0.5","Galaxy S24"
