id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,dataset_id
34169,211,A1_H,-77,10:12:07,6,0,Galaxy S24,0
34170,211,A4_V,-77,10:12:07,6,0,Galaxy S24,0
34171,211,A2_V,-84,10:12:07,6,0,Galaxy S24,0
34172,211,A1_V,-74,10:12:07,6,0,Galaxy S24,0
34173,212,A3_H,-82,10:12:38,6.5,0,Galaxy S24,0
34174,212,A4_V,-73,10:12:38,6.5,0,Galaxy S24,0
34175,212,A2_V,-83,10:12:38,6.5,0,Galaxy S24,0
34176,212,A4_H,-72,10:12:38,6.5,0,Galaxy S24,0
34177,212,A1_H,-77,10:12:38,6.5,0,Galaxy S24,0
34178,212,A2_H,-78,10:12:38,6.5,0,Galaxy S24,0
34179,212,A3_V,-80,10:12:38,6.5,0,Galaxy S24,0
34180,212,A1_V,-78,10:12:38,6.5,0,Galaxy S24,0
34181,213,A2_V,-82,10:13:06,7,0,Galaxy S24,0
34182,213,A4_H,-65,10:13:07,7,0,Galaxy S24,0
34183,213,A3_H,-72,10:13:07,7,0,Galaxy S24,0
34184,213,A1_V,-64,10:13:07,7,0,Galaxy S24,0
34185,213,A3_V,-80,10:13:07,7,0,Galaxy S24,0
34186,213,A2_H,-69,10:13:07,7,0,Galaxy S24,0
34187,213,A1_H,-75,10:13:07,7,0,Galaxy S24,0
34188,213,A4_V,-56,10:13:08,7,0,Galaxy S24,0
34189,214,A2_H,-70,10:14:44,0,0.5,Galaxy S24,0
34190,214,A3_V,-72,10:14:44,0,0.5,Galaxy S24,0
34191,214,A1_V,-92,10:14:44,0,0.5,Galaxy S24,0
34192,214,A4_V,-83,10:14:44,0,0.5,Galaxy S24,0
34193,214,A3_H,-60,10:14:44,0,0.5,Galaxy S24,0
34194,214,A1_H,-80,10:14:44,0,0.5,Galaxy S24,0
34195,214,A4_H,-86,10:14:44,0,0.5,Galaxy S24,0
34196,214,A2_V,-79,10:14:44,0,0.5,Galaxy S24,0
34197,215,A4_H,-75,10:15:26,0.5,0.5,Galaxy S24,0
34198,215,A1_H,-80,10:15:26,0.5,0.5,Galaxy S24,0
34199,215,A4_V,-77,10:15:26,0.5,0.5,Galaxy S24,0
34200,215,A2_V,-81,10:15:26,0.5,0.5,Galaxy S24,0
34201,215,A1_V,-90,10:15:26,0.5,0.5,Galaxy S24,0
34202,215,A2_H,-75,10:15:26,0.5,0.5,Galaxy S24,0
34203,215,A3_V,-71,10:15:26,0.5,0.5,Galaxy S24,0
34204,215,A3_H,-75,10:15:26,0.5,0.5,Galaxy S24,0
34205,216,A4_H,-78,10:15:52,1,0.5,Galaxy S24,0
34206,216,A3_H,-88,10:15:52,1,0.5,Galaxy S24,0
34207,216,A1_H,-79,10:15:52,1,0.5,Galaxy S24,0
34208,216,A1_V,-98,10:15:52,1,0.5,Galaxy S24,0
34209,216,A4_V,-80,10:15:52,1,0.5,Galaxy S24,0
34210,216,A3_V,-73,10:15:52,1,0.5,Galaxy S24,0
34211,216,A2_V,-81,10:15:52,1,0.5,Galaxy S24,0
34212,216,A2_H,-79,10:15:52,1,0.5,Galaxy S24,0
34213,217,A4_V,-76,10:16:31,1.5,0.5,Galaxy S24,0
34214,217,A2_H,-80,10:16:31,1.5,0.5,Galaxy S24,0
34215,217,A1_V,-73,10:16:31,1.5,0.5,Galaxy S24,0
34216,217,A2_V,-75,10:16:31,1.5,0.5,Galaxy S24,0
34217,217,A4_H,-77,10:16:31,1.5,0.5,Galaxy S24,0
34218,217,A3_V,-71,10:16:31,1.5,0.5,Galaxy S24,0
34219,217,A1_H,-75,10:16:31,1.5,0.5,Galaxy S24,0
34220,217,A3_H,-81,10:16:31,1.5,0.5,Galaxy S24,0
34221,218,A2_H,-73,10:16:56,2,0.5,Galaxy S24,0
34222,218,A4_H,-81,10:16:56,2,0.5,Galaxy S24,0
34223,218,A4_V,-86,10:16:56,2,0.5,Galaxy S24,0
34224,218,A1_V,-76,10:16:56,2,0.5,Galaxy S24,0
34225,218,A1_H,-76,10:16:56,2,0.5,Galaxy S24,0
34226,218,A3_H,-76,10:16:57,2,0.5,Galaxy S24,0
34227,218,A2_V,-75,10:16:57,2,0.5,Galaxy S24,0
34228,218,A3_V,-81,10:16:57,2,0.5,Galaxy S24,0
34229,219,A1_V,-75,10:17:26,2.5,0.5,Galaxy S24,0
34230,219,A2_V,-76,10:17:26,2.5,0.5,Galaxy S24,0
34231,219,A4_V,-89,10:17:26,2.5,0.5,Galaxy S24,0
34232,219,A2_H,-77,10:17:26,2.5,0.5,Galaxy S24,0
34233,219,A3_V,-76,10:17:26,2.5,0.5,Galaxy S24,0
34234,219,A1_H,-77,10:17:26,2.5,0.5,Galaxy S24,0
34235,219,A3_H,-83,10:17:26,2.5,0.5,Galaxy S24,0
34236,219,A4_H,-81,10:17:26,2.5,0.5,Galaxy S24,0
