id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,timestamp_2byte
34147,208,A2_H,-71,2025-08-07 10:09:54,4.5,0.0,Galaxy S24,31602
34148,208,A4_H,-74,2025-08-07 10:09:54,4.5,0.0,Galaxy S24,31602
34149,209,A2_H,-73,2025-08-07 10:10:19,5.0,0.0,Galaxy S24,31627
34150,209,A4_H,-76,2025-08-07 10:10:19,5.0,0.0,Galaxy S24,31627
34151,209,A3_V,-68,2025-08-07 10:10:19,5.0,0.0,Galaxy S24,31627
34152,209,A1_V,-78,2025-08-07 10:10:20,5.0,0.0,Galaxy S24,31628
34153,209,A4_V,-80,2025-08-07 10:10:20,5.0,0.0,Galaxy S24,31628
34154,209,A3_H,-75,2025-08-07 10:10:20,5.0,0.0,Galaxy S24,31628
34155,209,A1_H,-66,2025-08-07 10:10:20,5.0,0.0,Galaxy S24,31628
34156,209,A2_V,-81,2025-08-07 10:10:20,5.0,0.0,Galaxy S24,31628
34157,210,A3_V,-76,2025-08-07 10:11:28,5.5,0.0,Galaxy S24,31696
34158,210,A2_V,-75,2025-08-07 10:11:28,5.5,0.0,Galaxy S24,31696
34159,210,A3_H,-83,2025-08-07 10:11:28,5.5,0.0,Galaxy S24,31696
34160,210,A4_V,-84,2025-08-07 10:11:29,5.5,0.0,Galaxy S24,31697
34161,210,A4_H,-70,2025-08-07 10:11:29,5.5,0.0,Galaxy S24,31697
34162,210,A1_H,-78,2025-08-07 10:11:29,5.5,0.0,Galaxy S24,31697
34163,210,A1_V,-75,2025-08-07 10:11:29,5.5,0.0,Galaxy S24,31697
34164,210,A2_H,-65,2025-08-07 10:11:29,5.5,0.0,Galaxy S24,31697
34165,211,A4_H,-75,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34166,211,A2_H,-77,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34167,211,A3_V,-76,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34168,211,A3_H,-80,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34169,211,A1_H,-77,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34170,211,A4_V,-77,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34171,211,A2_V,-84,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34172,211,A1_V,-74,2025-08-07 10:12:07,6.0,0.0,Galaxy S24,31735
34173,212,A3_H,-82,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34174,212,A4_V,-73,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34175,212,A2_V,-83,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34176,212,A4_H,-72,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34177,212,A1_H,-77,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34178,212,A2_H,-78,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34179,212,A3_V,-80,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34180,212,A1_V,-78,2025-08-07 10:12:38,6.5,0.0,Galaxy S24,31766
34181,213,A2_V,-82,2025-08-07 10:13:06,7.0,0.0,Galaxy S24,31794
34182,213,A4_H,-65,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34183,213,A3_H,-72,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34184,213,A1_V,-64,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34185,213,A3_V,-80,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34186,213,A2_H,-69,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34187,213,A1_H,-75,2025-08-07 10:13:07,7.0,0.0,Galaxy S24,31795
34188,213,A4_V,-56,2025-08-07 10:13:08,7.0,0.0,Galaxy S24,31796
34189,214,A2_H,-70,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34190,214,A3_V,-72,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34191,214,A1_V,-92,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34192,214,A4_V,-83,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34193,214,A3_H,-60,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34194,214,A1_H,-80,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34195,214,A4_H,-86,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34196,214,A2_V,-79,2025-08-07 10:14:44,0.0,0.5,Galaxy S24,31892
34197,215,A4_H,-75,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34198,215,A1_H,-80,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34199,215,A4_V,-77,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34200,215,A2_V,-81,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34201,215,A1_V,-90,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34202,215,A2_H,-75,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34203,215,A3_V,-71,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34204,215,A3_H,-75,2025-08-07 10:15:26,0.5,0.5,Galaxy S24,31934
34205,216,A4_H,-78,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34206,216,A3_H,-88,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34207,216,A1_H,-79,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34208,216,A1_V,-98,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34209,216,A4_V,-80,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34210,216,A3_V,-73,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34211,216,A2_V,-81,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34212,216,A2_H,-79,2025-08-07 10:15:52,1.0,0.5,Galaxy S24,31960
34213,217,A4_V,-76,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34214,217,A2_H,-80,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34215,217,A1_V,-73,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34216,217,A2_V,-75,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34217,217,A4_H,-77,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34218,217,A3_V,-71,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34219,217,A1_H,-75,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34220,217,A3_H,-81,2025-08-07 10:16:31,1.5,0.5,Galaxy S24,31999
34221,218,A2_H,-73,2025-08-07 10:16:56,2.0,0.5,Galaxy S24,32024
34222,218,A4_H,-81,2025-08-07 10:16:56,2.0,0.5,Galaxy S24,32024
34223,218,A4_V,-86,2025-08-07 10:16:56,2.0,0.5,Galaxy S24,32024
34224,218,A1_V,-76,2025-08-07 10:16:56,2.0,0.5,Galaxy S24,32024
34225,218,A1_H,-76,2025-08-07 10:16:56,2.0,0.5,Galaxy S24,32024
34226,218,A3_H,-76,2025-08-07 10:16:57,2.0,0.5,Galaxy S24,32025
34227,218,A2_V,-75,2025-08-07 10:16:57,2.0,0.5,Galaxy S24,32025
34228,218,A3_V,-81,2025-08-07 10:16:57,2.0,0.5,Galaxy S24,32025
34229,219,A1_V,-75,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34230,219,A2_V,-76,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
